id,username,center,person,created_at,format,updated_at,country
1,nederland,,,2026-08-23,,,nederland
2,united_kingdom,,,2026-08-23,,,uk
3,dkg,dkg,,2026-08-23,,,nederland
4,juleon_schins,dkg,juleon_schins,2026-08-23,secret,2026-07-31,nederland
5,miguel_palacios,dkg,miguel_palacios,2026-08-23,excel,2026-07-31,nederland
6,ramon_cid,dkg,ramon_cid,2026-08-23,secret,2026-07-31,nederland
7,mark_fox,brk,mark_fox,2026-08-23,natwest,2026-07-31,uk
8,xavier_bosch,gph,xavier_bosch,2026-08-23,multiple,2026-07-31,uk
9,rafael_bidarra,dkg,rafael_bidarra,2026-08-23,excel,2026-07-31,nederland
10,rafael_ojeda,dkg,rafael_ojeda,2026-08-23,secret,2026-07-31,nederland
